"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM207731","20","660","2","74","07","Saturday","16","12"
"PM20831","31","1560","3","79","07","Saturday","16","12"
"PM20832","30","1020","2","74","07","Saturday","16","12"
"PM20834","11","180","1","81","07","Saturday","16","12"
"PM20851","22","1440","2","76","07","Saturday","16","12"
"PM20852","37","2460","4","84","07","Saturday","16","12"
"PM20854","11","180","1","79","07","Saturday","16","12"
"PM20873","20","660","2","76","07","Saturday","16","12"
"PM20911","22","1080","0","86","07","Saturday","16","12"
"PM20912","43","1440","0","64","07","Saturday","16","12"
"PM20913","14","480","0","86","07","Saturday","16","12"
"PM20971","12","600","1","94","07","Saturday","16","12"
"PM20972","11","360","1","83","07","Saturday","16","12"
"PM20976","54","900","7","82","07","Saturday","16","12"
"PM21081","26","1680","4","0","07","Saturday","16","12"
"PM21148","7","240","0","75","07","Saturday","16","12"
"PM21181","40","2040","4","92","07","Saturday","16","12"
"PM21185","18","300","2","78","07","Saturday","16","12"
"PM21188","12","420","0","84","07","Saturday","16","12"
"PM21192","20","660","2","76","07","Saturday","16","12"
"PM21193","22","1080","2","77","07","Saturday","16","12"
"PM21231","29","960","3","92","07","Saturday","16","12"
"PM21236","7","120","0","63","07","Saturday","16","12"
"PM21301","14","720","1","78","07","Saturday","16","12"
"PM21307","13","420","2","56","07","Saturday","16","12"
"PM21941","18","900","2","84","07","Saturday","16","12"
"PM22081","10","480","1","92","07","Saturday","16","12"
"PM22082","3","60","0","84","07","Saturday","16","12"
"PM22121","7","360","0","92","07","Saturday","16","12"
"PM22211","13","660","1","77","07","Saturday","16","12"
"PM22241","7","360","0","68","07","Saturday","16","12"
"PM22341","7","360","0","73","07","Saturday","16","12"
"PM22391","4","240","0","87","07","Saturday","16","12"
"PM22392","3","60","0","48","07","Saturday","16","12"
"PM22471","3","240","0","78","07","Saturday","16","12"
"PM22571","9","600","1","65","07","Saturday","16","12"
"PM22572","13","420","1","81","07","Saturday","16","12"
"PM22641","9","600","1","102","07","Saturday","16","12"
"PM22721","5","360","0","82","07","Saturday","16","12"
"PM22781","6","300","0","48","07","Saturday","16","12"
"PM22851","16","60","15","93","07","Saturday","16","12"
"PM22901","3","180","0","79","07","Saturday","16","12"
"PM22971","1","60","0","70","07","Saturday","16","12"
"PM23011","6","300","0","76","07","Saturday","16","12"
"PM23071","6","300","0","0","07","Saturday","16","12"
"PM23073","10","480","1","0","07","Saturday","16","12"
"PM23111","8","600","0","70","07","Saturday","16","12"
"PM23181","7","240","0","87","07","Saturday","16","12"
"PM23187","22","1080","2","57","07","Saturday","16","12"
"PM23221","20","660","2","84","07","Saturday","16","12"
"PM23222","11","180","1","0","07","Saturday","16","12"
"PM30461","27","1440","9","90","07","Saturday","16","12"
"PM30462","3","60","0","85","07","Saturday","16","12"
"PM30471","30","1020","3","72","07","Saturday","16","12"
"PM30472","22","360","3","88","07","Saturday","16","12"
"PM30752","22","1080","2","51","07","Saturday","16","12"
"PM30753","11","180","1","96","07","Saturday","16","12"
"PM30901","19","900","3","76","07","Saturday","16","12"
"PM30902","18","240","5","53","07","Saturday","16","12"
"PM31263","5","180","0","52","07","Saturday","16","12"
"PM31264","14","240","1","102","07","Saturday","16","12"
"PM31301","4","240","0","98","07","Saturday","16","12"
"PM31451","20","1320","2","87","07","Saturday","16","12"
"PM31452","0","0","0","83","07","Saturday","16","12"
"PM31453","36","1200","0","67","07","Saturday","16","12"
"PM31801","16","1020","2","103","07","Saturday","16","12"
"PM31851","9","660","0","95","07","Saturday","16","12"
"PM31852","11","180","1","93","07","Saturday","16","12"
"PM31881","14","480","1","0","07","Saturday","16","12"
"PM31882","7","120","0","73","07","Saturday","16","12"
"PM31891","18","600","2","82","07","Saturday","16","12"
"PM31892","11","180","1","85","07","Saturday","16","12"
"PM32051","11","360","1","53","07","Saturday","16","12"
"PM32351","8","660","1","80","07","Saturday","16","12"
"PM32352","8","120","1","71","07","Saturday","16","12"
"PM33031","5","180","0","68","07","Saturday","16","12"
"PM33032","3","60","0","72","07","Saturday","16","12"
"PM33151","21","660","3","65","07","Saturday","16","12"
"PM33152","8","240","1","45","07","Saturday","16","12"
